NAME,ALIAS,PATH,DESCRIPTION
INTEGRATED STUDIES I: IDENTYINHERITCHANGE,INTG-001,/coursehistories/5231,This is an introduction to literary study through the works of a single author--often Shakespeare| but some versions of this course will feature other writers. (For offerings in a given semester| please see the on-line course descriptions on the English Department website.) We will read several works and approach them--both in discussion and in writing--from a range of critical perspectives. The author's relation to his or her time| to literary history generally| and to the problems of performance| are likely to be emphasized. Some versions of this course will also serve as an introduction to other members of the English faculty| who will visit the class as guest lecturers. This course is designed for the Generaly Requirement and is ideial for the student wishing to take an English course but not necessarily intending to major.   See the English Department's website at www.english.upenn.edu for a description of the current offerings.   
INTEGRATED STUDIES II: THE ORDER OF THINGS,INTG-002,/coursehistories/5435,This course offers an intensive survey of the major currents in Jewish culture and society from the late middle ages to the present. Focusing upon the different societies in which Jews have lived| the course explores Jewish responses to the political| socio-economic| and cultural challenges of modernity.Topics to be covered include the political emancipation of Jews| the creation of new religious movements within Judaism| Jewish socialism| Zionism| the Holocaust| and the emergence of new Jewish communities in Israel and the United States. No prior background in Jewish history is expected.   
