NAME,ALIAS,PATH,DESCRIPTION
JUDGES AND JUDGING,BENF-219,/coursehistories/2476,
LEADERSHIP AND ETHICS,BENF-222,/coursehistories/2747,This course is focused on molecular species that contain metal-carbon bonds| and the role of these compounds in catalytic processes and organic synthesis. Aspects of the synthesis| structure and reactivity of important classes of organometallic compounds such as metallo alkyl| aryl| alkene| alkylidene and alkylidyne complexes are surveyed for the d and f block metals. Emphasis is placed on general patterns of reactivity and recurring themes for reaction mechanisms.   
ORIGINALITY: ART LAW & TECHNOLOGY,BENF-223,/coursehistories/2989,Through readings and collaborative projects this working seminar will explore the place of metaphor in the genres of proverb and riddle and examine their position in oral communication in traditional and modern societies. Critical readings of former definitions and models of riddles and metaphors will enable students to obtain a comprehensive perspective of these genres that will synthesize functional| structural| metaphoric| and rhetoric theories.   
FAC/STUD COLLAB LEARNING: Action-Oriented Policies: Hist of Blk Educ in Phila Franklin to Present,BENF-210,/coursehistories/3719,Introduction to the grammar of Middle Egyptian.   
GLOBAL FOOD SECURITY,BENF-225,/coursehistories/5378,This course provides students with the concepts and tools to help nonprofit and government organizations market their programs and services. The course emphasizes applications| and students will complete a marketing plan during the course for a nonprofit organization or government agency of their choice. Students will learn how to conduct competitive analyses| benchmarking| market segmentation and client needs; explore opportunities for social research on client needs; explore opportunities for social entrepreneurship and product development; and design effective Web and direct marketing tactics as part of an overall promotion and packaging strategy.   
