ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
BENG-403,2015C,HAIMANTI BANERJEE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
BENG-423,2016C,HAIMANTI BANERJEE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
BENG-433,2010C,SANJUKTA BANERJEE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
BENG-462,2010A,SRILATA GANGULEE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
BENG-424,2013A,HAIMANTI BANERJEE,4.00,2.00,4.00,4.00,2.00
BENG-404,2016A,HAIMANTI BANERJEE,3.50,1.75,3.75,3.25,2.25
