ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
TAML-406,2016C,VASU RENGANATHAN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
TAML-426,2016C,VASU RENGANATHAN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
TAML-489,2009C,VASU RENGANATHAN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
TAML-446,2015C,VASU RENGANATHAN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
TAML-436,2012C,VASU RENGANATHAN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
TAML-407,2014A,VASU RENGANATHAN,3.67,2.33,3.67,3.00,2.00
TAML-427,2014A,VASU RENGANATHAN,3.50,2.50,3.50,4.00,2.50
