ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
PSYC-411,2010C,DANIEL MIRMAN,2.67,3.00,3.11,2.67,3.56
PSYC-435,2015A,DELPHINE DAHAN,3.17,3.17,3.17,3.50,3.33
PSYC-560,2011C,DAVID B. SARWER,2.78,2.22,3.56,3.44,2.22
PSYC-117,2010A,NICOLE RUST,2.30,2.98,2.40,2.04,2.49
PSYC-257,2010A,EVANGELIA G. CHRYSIKOU,3.00,2.36,3.44,3.21,2.79
PSYC-272,2016C,RICHARD JOHN DI ROCCO,2.22,1.89,2.39,2.68,1.74
PSYC-275,2016A,PHILIP E. TETLOCK,2.89,2.29,3.30,3.14,2.38
PSYC-281,2015C,DEENA WEISBERG,2.98,2.65,3.30,3.38,2.10
PSYC-466,2013A,MARIE J FORGEARD,3.40,1.93,3.53,3.60,2.13
PSYC-417,2015A,NICOLE RUST,3.43,3.23,3.43,3.62,3.46
PSYC-481,2012C,DANIEL SWINGLEY,2.27,3.00,3.27,2.67,3.00
BIBB-249,2015A,HAYLEY KLEITZ NELSON,2.58,2.76,2.70,3.00,2.69
PSYC-070,2016A,PAUL ROZIN,3.60,0.82,3.73,3.91,1.09
PSYC-575,2013A,PHILIP E. TETLOCK,3.00,2.67,3.00,3.00,2.67
COMM-406,2013C,DOLORES ALBARRACIN,1.67,1.92,2.00,1.62,2.62
PSYC-235,2015A,DELPHINE DAHAN,2.65,2.58,2.86,2.85,2.19
PSYC-547,2016C,HILARY B. GERSTEIN,3.00,3.33,3.17,3.67,3.17
PSYC-579,2015C,DAVID BRAINARD,3.57,2.29,3.86,3.50,2.43
PSYC-429,2015A,MICHAEL J. KAHANA,1.43,3.83,2.00,2.83,3.83
PSYC-440,2016A,PHILIP GEHRMAN,3.23,1.92,3.62,3.58,1.92
