ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
SCND-102,2016A,KIM ERIC WILLIAMS,3.00,2.33,3.20,3.00,1.33
SCND-104,2015A,KIM ERIC WILLIAMS,2.75,2.00,2.50,3.00,2.00
SCND-103,2016C,ANNIKA CARINA AAHREN,3.67,2.00,4.00,4.00,2.00
SCND-101,2015C,KIM ERIC WILLIAMS,2.60,1.50,2.80,2.75,1.25
