ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
CIT-594,2016C,PAUL W MCBURNEY,1.55,2.11,1.36,1.74,2.37
CIT-595,2016A,CHRISTIAN DANIEL MURPHY,3.32,2.16,3.54,3.31,2.38
CIT-596,2016A,ARVIND BHUSNURMATH,3.00,3.03,3.24,2.90,2.56
CIT-591,2016C,SWAPNEEL SHETH,2.86,2.03,3.12,2.92,2.51
CIT-592,2016C,ARVIND BHUSNURMATH,3.48,2.45,3.73,3.70,2.41
CIT-593,2016C,THOMAS FARMER,2.45,3.24,2.45,2.28,3.40
CIT-597,2015A,SWAPNEEL SHETH,2.89,2.47,2.91,2.84,2.45
CIT-590,2016C,DAVID LEE MATUSZEK,2.69,2.77,2.59,2.38,2.94
